id_comment,text,parentId,publishedAt,totalReplyCount,videoId,videoTitle,ChannelSource,VideoPublication,empathy,humor,macabre,context,misogyny,intersectionality,aggressiveness,Responsibility,target,intersectionality_notes,aggressiveness_perpetrator,aggressiveness_victim,aggressiveness_social,aggressiveness_media,aggressiveness_rape,resp_perpetator,resp_victim,resp_social,resp_media,resp_rape
UgzvtjfGQ3KbJjqaCKp4AaABAg,Povera ragazza,,2022-04-10T13:10:52Z,0,https://www.youtube.com/watch?v=d2t6zq8e5do,L'amica di Carol: ho sospettato subito di Davide,La Vita in Diretta - Rai,07/04/2022,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgxW0j9lWxNu_CDft5R4AaABAg,Ci si può fidare solo di se stessi e della propria famiglia strettissima,,2022-03-30T11:20:12Z,5,https://www.youtube.com/watch?v=1__fr0d1pRw,"Brescia, Carol Maltesi uccisa e fatta a pezzi nel Bresciano",La Vita in Diretta - Rai,29/03/2022,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgwT7V8xGMHscnuUiUh4AaABAg.9_FGi1TXLFX9_FYqEL5qvM,Potresti non avere torto...uno così se non è già un serial killer è comunque una persona che avrebbe potuto colpire ancora. Povera ragazza che razza di mostro orribile  ha incontrato sulla sua strada 😞...,UgwT7V8xGMHscnuUiUh4AaABAg,2022-03-31T20:41:07Z,,https://www.youtube.com/watch?v=ez_qu4jGVGo,Fatta a pezzi dal vicino doppia vita di un assassino,Storie Italiane - Rai,30/03/2022,1,0,0,1,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0
UgzFoKiUDZe9svs3wj14AaABAg,Assassino,,2022-04-02T18:02:28Z,0,https://www.youtube.com/watch?v=4920UYmW9M4,"Omicidio Carol Maltesi, il killer interrogato in carcere",La Vita in Diretta - Rai,30/03/2022,0,0,0,1,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0
UgyTVawfY5PYEt5NmQ94AaABAg.9_AOT2-Wooi9_BlFF8wnnl,"si certo credici,ti ricordo che siamo in Italia, quindi lo faranno passare bx pazzo e esce dopo poco",UgyTVawfY5PYEt5NmQ94AaABAg,2022-03-30T09:21:18Z,,https://www.youtube.com/watch?v=1__fr0d1pRw,"Brescia, Carol Maltesi uccisa e fatta a pezzi nel Bresciano",La Vita in Diretta - Rai,29/03/2022,0,0,0,1,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0
UgzkeWr6Vefsv9KHLHp4AaABAg,"Poverina,ha conosciuto questo mostro affatto una male fine ,era meglio che non conosceva mai questo mostro,  che brutta fine che a fatto ,mi dispiace  aveva tanta bella vita ,e questo mostro già l'aveva in mente di ammazzarla in più la fatta a pezzi,questo e solo un mostro,era meglio che non conosceva mai questo mostro ,e meglio non fidarsi mai da nessuno ,mi dispiace che ai fatto questa fine,eri bella avevi tanta vita davanti a te,🙏😔",,2022-03-31T20:48:53Z,0,https://www.youtube.com/watch?v=ez_qu4jGVGo,Fatta a pezzi dal vicino doppia vita di un assassino,Storie Italiane - Rai,30/03/2022,1,0,1,1,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0
UgwLK7ADERnyVRbntgh4AaABAg.9_AZpgvHluH9bLCzZuySg7,<USER> lei poi era una professionista e tu per dire che è un mondo marcio ci sei stato dentro? Come mai tantissime pornostar tra cui la stessa Charlotte Angie ti smentiscono?,UgwLK7ADERnyVRbntgh4AaABAg,2022-05-22T18:28:23Z,,https://www.youtube.com/watch?v=2Z6CUI6ar74,"Brescia, fatta a pezzi e gettata in un dirupo: confessa l'assassino",Ore 14 - Rai,29/03/2022,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgxfKTBoTmCXneaPIb14AaABAg,"Macabro,mostro .schifoso orrendo tutto questo !!",,2022-03-30T15:53:04Z,0,https://www.youtube.com/watch?v=1__fr0d1pRw,"Brescia, Carol Maltesi uccisa e fatta a pezzi nel Bresciano",La Vita in Diretta - Rai,29/03/2022,0,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,0,0,0
UgzpXDRuTMRfD8iPL4l4AaABAg.9_XK8aCkIUU9erwxRhjq59,Esatto!!!! Qui tutte a dire....non giudicare Carol per  il lavoro che faceva....poi però tutte o quasi a giudicare questa tizia del video intervista per aver detto la sua...fantastico!!! Siamo davvero in un mondo di gente oggettiva e consapevole!!!!👏👏👏 rispondo a zaga b  e sono assolutamente d'accordo con ciò che scrive....,UgzpXDRuTMRfD8iPL4l4AaABAg,2022-08-18T10:27:54Z,,https://www.youtube.com/watch?v=d2t6zq8e5do,L'amica di Carol: ho sospettato subito di Davide,La Vita in Diretta - Rai,07/04/2022,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgwwutXz8oSMgmsOHLh4AaABAg,Io ero abbonato al suo onlyfans. Quanti rasponi! RIP,,2022-03-31T13:56:23Z,0,https://www.youtube.com/watch?v=4920UYmW9M4,"Omicidio Carol Maltesi, il killer interrogato in carcere",La Vita in Diretta - Rai,30/03/2022,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Ugy4KRoED8DjIJDuNSB4AaABAg,Si era fatta fregare,,2022-04-22T18:57:44Z,0,https://www.youtube.com/watch?v=4920UYmW9M4,"Omicidio Carol Maltesi, il killer interrogato in carcere",La Vita in Diretta - Rai,30/03/2022,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgyH_mAoU4o06IwnH014AaABAg,Per carità come si può ammazzare una persona e poi così con questa crudeltà.sono senza parole..,,2022-04-18T06:55:05Z,0,https://www.youtube.com/watch?v=4920UYmW9M4,"Omicidio Carol Maltesi, il killer interrogato in carcere",La Vita in Diretta - Rai,30/03/2022,1,0,0,1,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0
UgzNCNiu16jXjKDoTuh4AaABAg,Sto pelato,,2022-03-30T04:53:34Z,2,https://www.youtube.com/watch?v=qQ95IWLH2Is,Quattro sacchi nel dirupo l'identikit dei tatuaggi,Storie Italiane - Rai,29/03/2022,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgyG1JGX6vw3wr46P5B4AaABAg.9_BpqFp_1F09_D1liZNu4B,<USER> GIa speriamo .povero bambino non so come potrà saperlo e da adulto come si sentirà sapendo l attroce figlio della madre,UgyG1JGX6vw3wr46P5B4AaABAg,2022-03-30T21:13:39Z,,https://www.youtube.com/watch?v=abHX7HqwSq4,"Charlotte Angie, la collega Jasmin Carrera: ""Fontana l'accompagna ovunque ma il pericolo è lui""",Fanpage.it,2022,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgzEThMOaOByZj3lwWN4AaABAg,"Povera figlia,nn fidarsi mai di nessuno,purtroppo è cosi...i mostri sono tanti...",,2022-08-03T07:03:44Z,0,https://www.youtube.com/watch?v=1__fr0d1pRw,"Brescia, Carol Maltesi uccisa e fatta a pezzi nel Bresciano",La Vita in Diretta - Rai,29/03/2022,1,0,0,1,0,0,0,1,,,0,0,0,0,0,1,0,1,0,1
UgwJwMpbdWT9Q_82L3Z4AaABAg,Che bel papà,,2022-04-07T23:38:43Z,12,https://www.youtube.com/watch?v=_fdoY4KviOg,"Carol Maltesi, dolore di papà e primi rimorsi dell'assassino",Storie Italiane - Rai,07/04/2022,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Ugz3865a_FOc32485v54AaABAg,"Che schifo... che bassezza... che sciacallaggio per fare ascolti tra gente morbosa... non parlo solo di questo caso, ma di tutti gli analoghi episodi e anche in altre trasmissioni simili sempre della rai o di altre.

E inoltre il solito analfabetismo di chi scrive i titoli qui su YT... ma dove l'avete la dignità? Già che si sa come si assume da sempre... ""in famiglia""... anche se uno magari è analfabeta totale... in questo caso tra l'altro c'è una rima spero involontaria, visto che non c'è ovviamente nulla da ridere su fatti del genere.",,2023-01-21T11:41:58Z,0,https://www.youtube.com/watch?v=ez_qu4jGVGo,Fatta a pezzi dal vicino doppia vita di un assassino,Storie Italiane - Rai,30/03/2022,0,0,0,1,0,0,1,1,,,0,0,0,1,0,0,0,0,1,0
UgzDupccDoP8yXq8Lbh4AaABAg,Questo papà mi fa piangere il cuore❤️❤️❤️❤️❤️❤️🙏🙏,,2022-10-21T19:44:05Z,1,https://www.youtube.com/watch?v=_fdoY4KviOg,"Carol Maltesi, dolore di papà e primi rimorsi dell'assassino",Storie Italiane - Rai,07/04/2022,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
